scope,checkpoint,bytes,kb
v7_base,leaderboards/v7/checkpoints/v7_kan_h16_s0/best.pt,63029,61.6
v7_base,leaderboards/v7/checkpoints/v7_kan_h2_s0/best.pt,15925,15.6
v7_base,leaderboards/v7/checkpoints/v7_kan_h32_s0/best.pt,117557,114.8
v7_base,leaderboards/v7/checkpoints/v7_kan_h4_s0/best.pt,22517,22.0
v7_base,leaderboards/v7/checkpoints/v7_kan_h8_s0/best.pt,36149,35.3
v7_base,leaderboards/v7/checkpoints/v7_micro_mlp_h16_s0/best.pt,151021,147.5
v7_base,leaderboards/v7/checkpoints/v7_micro_mlp_h32_s0/best.pt,486829,475.4
v7_base,leaderboards/v7/checkpoints/v7_micro_mlp_h4_s0/best.pt,41901,40.9
v7_base,leaderboards/v7/checkpoints/v7_micro_mlp_h8_s0/best.pt,64941,63.4
v7_base,leaderboards/v7/checkpoints/v7_mlp128_s0/best.pt,5727341,5593.1
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b32_h16_s0/best.pt,201851,197.1
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b36_h16_s0/best.pt,211835,206.9
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b40_h16_s0/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b40_h16_s1/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b40_h16_s2/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b40_h20_s0/best.pt,241787,236.1
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b40_h24_s0/best.pt,261563,255.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b44_h16_s0/best.pt,231419,226.0
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16_kan_b48_h16_s0/best.pt,241211,235.6
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16r6_kan_b40_h16_s0/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16r6_kan_b40_h16_s1/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16r6_kan_b40_h16_s2/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder16r8_kan_b40_h16_s0/best.pt,221627,216.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_deep_kan_b40_h16_d2_s0/best.pt,256122,250.1
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b16_h16_s0/best.pt,97915,95.6
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b16_h32_s0/best.pt,131323,128.2
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b20_h24_s0/best.pt,127867,124.9
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b24_h12_s0/best.pt,104059,101.6
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b24_h16_s0/best.pt,116155,113.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b24_h24_s0/best.pt,140731,137.4
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b24_h32_s0/best.pt,164923,161.1
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b28_h16_s0/best.pt,125179,122.2
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_encoder_kan_b32_h32_s0/best.pt,198331,193.7
v7_kan_rescue,leaderboards/v7/B_KAN_RESCUE/checkpoints_kan_ae_h16_s0/best.pt,80797,78.9
historical_root,checkpoints/best.pt,88868008,86785.2
historical_root,checkpoints/mlp_v1/best.pt,1508072,1472.7
historical_root,checkpoints/mlp_v1_gpu/best.pt,5731816,5597.5
historical_root,checkpoints_128_full/best.pt,5728941,5594.7
historical_root,checkpoints_512_full/best.pt,88857453,86774.9
historical_root,checkpoints_kan_h16_s0/best.pt,63285,61.8
historical_root,checkpoints_kan_h2/best.pt,15925,15.6
historical_root,checkpoints_kan_h4/best.pt,22517,22.0
historical_root,checkpoints_kan_s0/best.pt,63029,61.6
historical_root,checkpoints_kan_s0_backup/best.pt,63029,61.6
historical_root,checkpoints_kan_s1/best.pt,63029,61.6
historical_root,checkpoints_kan_s2/best.pt,63029,61.6
historical_root,checkpoints_kan_s3/best.pt,63029,61.6
historical_root,checkpoints_kan_s42/best.pt,63029,61.6
historical_root,checkpoints_kan_smoke/best.pt,63029,61.6
historical_root,checkpoints_mlp_micro_h8/best.pt,64941,63.4
historical_root,checkpoints_mlp_micro_h8_smoke/best.pt,64941,63.4
historical_root,checkpoints_ref_512/best.pt,88857453,86774.9
historical_root,checkpoints_sanity_v6/best.pt,5728941,5594.7
historical_root,checkpoints_smoke/best.pt,428205,418.2
historical_root,checkpoints_smoke2/best.pt,428205,418.2
historical_root,checkpoints_smoke3/best.pt,428205,418.2
historical_root,checkpoints_split_smoke/best.pt,428205,418.2
historical_root,checkpoints_vec_sanity/best.pt,428205,418.2
