model_id,family,params,best_val_loss,greedy_bfs_optimal,greedy_overhead,greedy_catastrophic,beam5_bfs_optimal,beam5_overhead,beam5_catastrophic,train_source,greedy_source,beam5_source
encoder16_kan_b32_h16_s0,Encoder-KAN,13920,0.3322,93.3,0.102,0.4,99.4,0.009,0.1,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b32_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b32_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b32_h16_s0_beam5.log
encoder16_kan_b36_h16_s0,Encoder-KAN,14724,0.3425,94.3,0.083,0.4,99.7,0.005,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b36_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b36_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b36_h16_s0_beam5.log
encoder16_kan_b40_h16_s0,Encoder-KAN,15528,0.3123,94.7,0.079,0.2,99.8,0.004,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b40_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h16_s0_beam5.log
encoder16_kan_b40_h16_s1,Encoder-KAN,15528,0.3506,94.8,0.077,0.2,99.2,0.013,0.1,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b40_h16_s1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h16_s1_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h16_s1_beam5.log
encoder16_kan_b40_h16_s2,Encoder-KAN,15528,0.3358,93.8,0.082,0.2,99.5,0.006,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b40_h16_s2.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h16_s2_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h16_s2_beam5.log
encoder16_kan_b40_h20_s0,Encoder-KAN,17168,0.3184,94.1,0.081,0.2,99.7,0.004,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b40_h20_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h20_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h20_s0_beam5.log
encoder16_kan_b40_h24_s0,Encoder-KAN,18808,0.3452,94.0,0.084,0.3,99.7,0.005,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b40_h24_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h24_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b40_h24_s0_beam5.log
encoder16_kan_b44_h16_s0,Encoder-KAN,16332,0.3412,94.8,0.073,0.1,99.5,0.007,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b44_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b44_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b44_h16_s0_beam5.log
encoder16_kan_b48_h16_s0,Encoder-KAN,17136,0.3625,92.2,0.111,0.4,99.2,0.011,0.1,leaderboards/v7/B_KAN_RESCUE/encoder16_kan_b48_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b48_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16_kan_b48_h16_s0_beam5.log
encoder16r6_kan_b40_h16_s0,Encoder-KAN,15528,0.3401,94.8,0.072,0.3,99.5,0.007,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16r6_kan_b40_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r6_kan_b40_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r6_kan_b40_h16_s0_beam5.log
encoder16r6_kan_b40_h16_s1,Encoder-KAN,15528,0.337,94.3,0.074,0.1,99.6,0.005,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16r6_kan_b40_h16_s1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r6_kan_b40_h16_s1_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r6_kan_b40_h16_s1_beam5.log
encoder16r6_kan_b40_h16_s2,Encoder-KAN,15528,0.3341,94.8,0.077,0.3,99.5,0.006,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16r6_kan_b40_h16_s2.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r6_kan_b40_h16_s2_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r6_kan_b40_h16_s2_beam5.log
encoder16r8_kan_b40_h16_s0,Encoder-KAN,15528,0.3507,93.9,0.08,0.4,99.5,0.007,0.0,leaderboards/v7/B_KAN_RESCUE/encoder16r8_kan_b40_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r8_kan_b40_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder16r8_kan_b40_h16_s0_beam5.log
encoder_deep_kan_b40_h16_d2_s0,Encoder-KAN,18088,0.3357,94.3,0.081,0.3,99.4,0.009,0.1,leaderboards/v7/B_KAN_RESCUE/encoder_deep_kan_b40_h16_d2_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_deep_kan_b40_h16_d2_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_deep_kan_b40_h16_d2_s0_beam5.log
encoder_kan_b16_h16_s0,Encoder-KAN,5224,0.4763,89.5,0.168,1.0,98.8,0.018,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b16_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b16_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b16_h16_s0_beam5.log
encoder_kan_b16_h32_s0,Encoder-KAN,7944,0.4599,90.9,0.139,0.7,99.2,0.011,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b16_h32_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b16_h32_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b16_h32_s0_beam5.log
encoder_kan_b20_h24_s0,Encoder-KAN,7644,0.4387,88.3,0.173,1.1,98.8,0.016,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b20_h24_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b20_h24_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b20_h24_s0_beam5.log
encoder_kan_b24_h12_s0,Encoder-KAN,5704,0.457,91.9,0.114,0.4,99.2,0.013,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b24_h12_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h12_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h12_s0_beam5.log
encoder_kan_b24_h16_s0,Encoder-KAN,6704,0.4338,91.4,0.119,0.5,99.1,0.011,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b24_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h16_s0_beam5.log
encoder_kan_b24_h24_s0,Encoder-KAN,8704,0.4464,90.3,0.137,0.5,99.1,0.012,0.1,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b24_h24_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h24_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h24_s0_beam5.log
encoder_kan_b24_h32_s0,Encoder-KAN,10704,0.4697,90.8,0.132,0.9,99.3,0.009,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b24_h32_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h32_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b24_h32_s0_beam5.log
encoder_kan_b28_h16_s0,Encoder-KAN,7444,0.4464,92.2,0.111,0.7,99.2,0.01,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b28_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b28_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b28_h16_s0_beam5.log
encoder_kan_b32_h32_s0,Encoder-KAN,13464,0.4464,90.5,0.128,0.4,99.1,0.011,0.0,leaderboards/v7/B_KAN_RESCUE/encoder_kan_b32_h32_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b32_h32_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_encoder_kan_b32_h32_s0_beam5.log
kan_ae_h16_s0,KAN-AE,5840,0.5924,85.9,0.234,1.0,98.6,0.021,0.0,leaderboards/v7/B_KAN_RESCUE/kan_ae_h16_s0.log,leaderboards/v7/B_KAN_RESCUE/eval_kan_ae_h16_s0_beam1.log,leaderboards/v7/B_KAN_RESCUE/eval_kan_ae_h16_s0_beam5.log
kan_h16_s0,raw KAN,4480,0.5877,84.5,0.247,0.9,98.5,0.024,0.0,leaderboards/v7/logs/train_v7_kan_h16_s0.log,leaderboards/v7/evals/eval_v7_kan_h16_s0_beam1.log,leaderboards/v7/evals/eval_v7_kan_h16_s0_beam5.log
kan_h2_s0,raw KAN,560,0.7356,81.2,0.306,1.6,96.5,0.043,0.1,leaderboards/v7/logs/train_v7_kan_h2_s0.log,leaderboards/v7/evals/eval_v7_kan_h2_s0_beam1.log,leaderboards/v7/evals/eval_v7_kan_h2_s0_beam5.log
kan_h32_s0,raw KAN,8960,0.5802,86.0,0.245,1.6,98.4,0.024,0.0,leaderboards/v7/logs/train_v7_kan_h32_s0.log,leaderboards/v7/evals/eval_v7_kan_h32_s0_beam1.log,leaderboards/v7/evals/eval_v7_kan_h32_s0_beam5.log
kan_h4_s0,raw KAN,1120,0.6561,83.2,0.272,1.1,97.2,0.043,0.2,leaderboards/v7/logs/train_v7_kan_h4_s0.log,leaderboards/v7/evals/eval_v7_kan_h4_s0_beam1.log,leaderboards/v7/evals/eval_v7_kan_h4_s0_beam5.log
kan_h8_s0,raw KAN,2240,0.6171,87.4,0.214,1.4,98.4,0.025,0.1,leaderboards/v7/logs/train_v7_kan_h8_s0.log,leaderboards/v7/evals/eval_v7_kan_h8_s0_beam1.log,leaderboards/v7/evals/eval_v7_kan_h8_s0_beam5.log
micro_mlp_h16_s0,micro-MLP,10065,0.3326,93.7,0.087,0.2,99.5,0.007,0.0,leaderboards/v7/logs/train_v7_micro_mlp_h16_s0.log,leaderboards/v7/evals/eval_v7_micro_mlp_h16_s0_beam1.log,leaderboards/v7/evals/eval_v7_micro_mlp_h16_s0_beam5.log
micro_mlp_h32_s0,micro-MLP,38049,0.311,95.0,0.076,0.2,99.5,0.011,0.1,leaderboards/v7/logs/train_v7_micro_mlp_h32_s0.log,leaderboards/v7/evals/eval_v7_micro_mlp_h32_s0_beam1.log,leaderboards/v7/evals/eval_v7_micro_mlp_h32_s0_beam5.log
micro_mlp_h4_s0,micro-MLP,837,0.7065,88.8,0.159,0.7,98.2,0.024,0.1,leaderboards/v7/logs/train_v7_micro_mlp_h4_s0.log,leaderboards/v7/evals/eval_v7_micro_mlp_h4_s0_beam1.log,leaderboards/v7/evals/eval_v7_micro_mlp_h4_s0_beam5.log
